Flow ID,Src IP,Dst IP,Src Port,Dst Port,Protocol,Timestamp,Flow Duration,Flow Byts/s,Flow Pkts/s,Fwd Pkts/s,Bwd Pkts/s,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Pkt Len Max,Pkt Len Min,Pkt Len Mean,Pkt Len Std,Pkt Len Var,Fwd Header Len,Bwd Header Len,Fwd Seg Size Min,Fwd Act Data Pkts,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Flow IAT Std,Fwd IAT Tot,Fwd IAT Max,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Tot,Bwd IAT Max,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Init Fwd Win Byts,Init Bwd Win Byts,Active Max,Active Min,Active Mean,Active Std,Idle Max,Idle Min,Idle Mean,Idle Std,Fwd Byts/b Avg,Fwd Pkts/b Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Blk Rate Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,CWE Flag Count,Subflow Fwd Pkts,Subflow Bwd Pkts,Subflow Fwd Byts,Subflow Bwd Byts,__identifiers__
192.168.56.1-192.168.56.104-55156-80-6,192.168.56.1,192.168.56.104,55156,80,6,2026-02-24 20:24:51,344501.256942749,2507.9734328620575,23.221976230204238,14.513735143877648,8.708241086326588,5,3,384,0,384,0,76.8,153.6,0,0,0.0,0.0,384,0,48.0,126.99606293110035,16128.0,124,72,20,3,49214.46527753558,301403.5224914551,0.0,103951.57269554022,302657.8426361084,301425.9338378906,0.0,75664.4606590271,130344.41700235907,344230.17501831055,343246.9367980957,983.2382202148438,172115.08750915527,171131.84928894043,1,0,0,0,1,3,0,1,6,0,0,0.6,48.0,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,76.8,0.0,0,5,3,384,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55156-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55156, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:51'}"
192.168.56.1-192.168.56.104-55157-80-6,192.168.56.1,192.168.56.104,55157,80,6,2026-02-24 20:24:51,341459.9895477295,2524.453893241595,23.428806433796705,14.64300402112294,8.785802412673764,5,3,382,0,382,0,76.4,152.8,0,0,0.0,0.0,382,0,47.75,126.3346251033342,15960.4375,124,72,20,3,48779.998506818505,299938.2019042969,0.0,103504.99352794055,300394.29664611816,299955.1296234131,0.0,75098.57416152954,129821.04076876982,341408.72955322266,341003.8948059082,404.8347473144531,170704.36477661133,170299.53002929688,1,0,0,0,1,3,0,1,6,0,0,0.6,47.75,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,76.4,0.0,0,5,3,382,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55157-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55157, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:51'}"
192.168.56.1-192.168.56.104-55155-80-6,192.168.56.1,192.168.56.104,55155,80,6,2026-02-24 20:24:51,904566.764831543,1076.7585521245494,9.949514342013291,6.6330095613421935,3.3165047806710968,6,3,434,0,434,0,72.33333333333333,161.74225037248482,0,0,0.0,0.0,434,0,48.22222222222222,136.39304134887183,18603.06172839506,144,72,20,4,113070.84560394287,561756.8492889404,0.0,195324.9603133587,904566.764831543,603069.0670013428,0.0,180913.3529663086,240949.4285095928,342765.09284973145,341673.1357574463,1091.9570922851562,171382.54642486572,170290.58933258057,1,0,0,0,1,3,1,1,7,0,0,0.5,48.22222222222222,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,4.0,0,0,499.8514039050005,0,72.33333333333333,0.0,0,6,3,434,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55155-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55155, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:51'}"
192.168.56.1-192.168.56.104-55158-80-6,192.168.56.1,192.168.56.104,55158,80,6,2026-02-24 20:24:51,584427.8335571289,2359.5727664212973,15.399677228275324,8.555376237930735,6.844300990344589,5,4,389,456,389,0,77.8,155.6,456,0,114.0,197.45379206285202,456,0,93.88888888888889,176.35850131948362,31102.32098765431,124,92,20,3,73053.47919464111,300621.27113342285,0.0,113767.03640239006,310903.31077575684,300666.09382629395,0.0,77725.82769393921,128766.14456935776,584381.3419342041,341547.48916625977,10235.54801940918,194793.7806447347,137873.82424680828,1,1,0,0,1,3,0,2,7,0,0,0.8,93.88888888888889,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,77.8,114.0,0,5,4,389,456,"{'Flow ID': '192.168.56.1-192.168.56.104-55158-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55158, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:51'}"
192.168.56.1-192.168.56.104-55159-80-6,192.168.56.1,192.168.56.104,55159,80,6,2026-02-24 20:24:51,342034.57832336426,2569.915604173158,23.38944804708221,14.618405029426382,8.77104301765583,5,3,399,0,399,0,79.8,159.6,0,0,0.0,0.0,399,0,49.875,131.95684663934645,17412.609375,124,72,20,3,48862.08261762347,300069.33212280273,0.0,103548.3859816313,300481.31942749023,300091.028213501,0.0,75120.32985687256,129886.99080763913,341990.47088623047,341622.59101867676,367.87986755371094,170995.23544311523,170627.35557556152,1,0,0,0,1,3,0,1,6,0,0,0.6,49.875,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,79.8,0.0,0,5,3,399,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55159-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55159, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:51'}"
192.168.56.1-192.168.56.104-55160-80-6,192.168.56.1,192.168.56.104,55160,80,6,2026-02-24 20:24:51,341507.9116821289,2611.9453444178534,23.42551878401662,14.640949240010388,8.784569544006233,5,3,412,0,412,0,82.4,164.8,0,0,0.0,0.0,412,0,51.5,136.2561925198264,18565.75,124,72,20,3,48786.84452601841,296264.1716003418,0.0,101965.20289428589,300936.4604949951,296313.2858276367,0.0,75234.11512374878,127654.0702286593,341457.1285247803,336835.6227874756,4621.5057373046875,170728.56426239014,166107.05852508545,1,0,0,0,1,3,0,1,6,0,0,0.6,51.5,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,82.4,0.0,0,5,3,412,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55160-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55160, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:51'}"
192.168.56.1-192.168.56.104-55161-80-6,192.168.56.1,192.168.56.104,55161,80,6,2026-02-24 20:24:51,272041.32080078125,3106.1457778276354,25.731385141767394,18.37956081554814,7.351824326219256,5,2,419,0,419,0,83.8,167.6,0,0,0.0,0.0,419,0,59.857142857142854,146.61945746087883,21497.265306122456,124,52,20,3,45340.22013346354,260549.78370666504,0.0,96319.38135453733,272041.32080078125,260607.95783996582,0.0,68010.33020019531,111274.1112200752,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,3,0,1,5,0,0,0.4,59.857142857142854,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,83.8,0.0,0,5,2,419,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55161-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55161, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:51'}"
192.168.56.1-192.168.56.104-55162-80-6,192.168.56.1,192.168.56.104,55162,80,6,2026-02-24 20:24:52,1354.9327850341797,565341.6969910258,4428.263945099419,2952.175963399613,1476.0879816998065,4,2,400,0,400,0,100.0,173.20508075688772,0,0,0.0,0.0,400,0,66.66666666666667,149.07119849998597,22222.22222222222,104,52,20,2,270.98655700683594,1000.4043579101562,0.0,380.2794602927222,1292.9439544677734,1292.9439544677734,0.0,430.9813181559245,609.4996252655422,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,3,0,1,4,0,0,0.5,66.66666666666667,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,100.0,0.0,0,4,2,400,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55162-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55162, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:52'}"
192.168.56.1-192.168.56.104-55163-80-6,192.168.56.1,192.168.56.104,55163,80,6,2026-02-24 20:24:52,12747.526168823242,61423.68249574504,470.6795593543681,313.7863729029121,156.89318645145605,4,2,417,0,417,0,104.25,180.56629668905546,0,0,0.0,0.0,417,0,69.5,155.40672443623538,24151.25,104,52,20,2,2549.5052337646484,12430.906295776367,0.0,4941.258353522605,12695.074081420898,12430.906295776367,0.0,4231.691360473633,5798.723441195867,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,3,0,1,4,0,0,0.5,69.5,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,104.25,0.0,0,4,2,417,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55163-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55163, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:52'}"
192.168.56.104-192.168.56.1-80-55059-6,192.168.56.104,192.168.56.1,80,55059,6,2026-02-24 20:24:52,172.13821411132812,6587729.551246538,23237.141274238227,17427.85595567867,5809.285318559557,3,1,912,0,456,0,304.0,214.96046148071045,0,0,0.0,0.0,456,0,228.0,228.0,51984.0,60,20,20,2,57.37940470377604,171.89979553222656,0.0,80.97820343557686,0.2384185791015625,0.2384185791015625,0.0,0.11920928955078125,0.11920928955078125,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,1,2,4,0,0,0.3333333333333333,228.0,126,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,304.0,0.0,0,3,1,912,0,"{'Flow ID': '192.168.56.104-192.168.56.1-80-55059-6', 'Src IP': '192.168.56.104', 'Src Port': 80, 'Dst IP': '192.168.56.1', 'Dst Port': 55059, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:52'}"
